# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Updated, 05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Name,"Mean cosine of angle between halo spin axis and three principle axis (minor, middle,major) for group of halos of the same size n_p, where n_p is number of particles in halo. Halos are assumed to be ellopsoids with three axis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [3]  Fig. 22,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [4],https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [5]  ,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,,,,,,,,,,,,,,,,,,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
340,0,0,0,0,0,0,0.071760713,-0.024126316,-0.081243453,-0.159740602,0,0,0,0,0,0,-0.133737171,0.219255467,0.142107346,0.209603055,0,0,0,0,0,0,0.139317476,0.059635774,-0.128343034,0.090169904
341,0,0,0,0,0,-0.279661049,-0.272395099,-0.067163799,0.323458475,0.135070948,0,0,0,0,0,-0.959029024,0.332136278,-0.250766906,-0.0548719,-0.161807471,0,0,0,0,0,-0.045310356,0.112255612,0.110470209,0.085962271,-0.124556624
342,0,0,0,0,0,0,0.110641278,-0.259757764,-0.220001164,-0.169882857,0,0,0,0,0,0,0.211079739,-0.115014007,-0.129193054,0.02703379,0,0,0,0,0,0,-0.114403002,0.321192223,-0.212529936,-0.129596222
343,0,0,0,0,0,0,-0.801146973,0.010205586,0.197474356,-0.434674593,0,0,0,0,0,0,-0.192560709,-0.613710787,-0.052582144,-0.036669684,0,0,0,0,0,0,-0.24576986,-0.11131975,-0.200109646,0.029897669
344,0,0,0,0,0,-0.079498114,-0.28889465,-0.121743885,-0.099376755,-0.174778988,0,0,0,0,0,-0.040192182,-0.378116753,0.148073301,0.191035648,0.185571113,0,0,0,0,0,0.346523647,-0.044279074,-0.392122889,-0.207411708,-0.224195776
345,0,0,0,0,0,0.771416086,0.16611044,0.020323203,-0.173724244,-0.213732112,0,0,0,0,0,-0.631369602,-0.520503861,-0.119823858,-0.025906675,0.160621613,0,0,0,0,0,0.079307301,0.247900551,0.276508825,0.057365136,-0.096322344
346,0,0,0,0,0,0,-0.592003268,0.208503987,0.058156154,0.427623883,0,0,0,0,0,0,0.575108485,-0.385171488,0.217436836,0.041326897,0,0,0,0,0,0,0.082322863,0.057006914,0.224794912,0.169868881
347,0,0,0,0,0,0,-0.222090028,0.101423239,0.284641609,-0.048767195,0,0,0,0,0,0,-0.681565882,0.06943949,-0.233668115,-0.070483718,0,0,0,0,0,0,0.697240251,-0.238659784,-0.189729326,-0.170126572
348,0,0,0,0,0,0.06410581,-0.266702214,-0.608279716,0.182980518,-0.389112529,0,0,0,0,0,0.37877293,0.131316507,-0.545597014,0.085632816,0.405639765,0,0,0,0,0,0.540633891,-0.096336166,-0.168176138,0.043830083,-0.120190665
349,0,0,0,0,0,0,0.757655726,-0.065523601,0.173185372,0.026568241,0,0,0,0,0,0,0.471832843,0.503853053,-0.031902429,-0.033331827,0,0,0,0,0,0,0.060942449,-0.233788919,-0.043501988,-0.40866858
350,0,0,0,0,0,0,-0.273322875,-0.081144618,0.331208891,-0.038868311,0,0,0,0,0,0,0.952710629,-0.422677516,0.116355001,-0.208932425,0,0,0,0,0,0,-0.066274073,-0.156459042,0.055638025,-0.100906982
351,0,0,0,0,0,0,0.806905459,-0.203171362,0.107130953,-0.3165451,0,0,0,0,0,0,-0.588615439,-0.095736151,-0.186939097,-0.465159882,0,0,0,0,0,0,0.049350237,0.042723459,0.161485826,-0.164431283
352,0,0,0,0,0,0,-0.092834611,0.143342955,-0.12439159,0.180872066,0,0,0,0,0,0,-0.166173545,0.367026625,-0.038396196,0.103355027,0,0,0,0,0,0,0.115289349,0.285530366,0.23183711,0.076464707
353,0,0,0,0,0,0,0,0.471226875,0.2299506,-0.048728071,0,0,0,0,0,0,0,-0.060796628,0.074554789,0.015573253,0,0,0,0,0,0,0,-0.042012159,-0.030909398,-0.012479751
354,0,0,0,0,0,-0.065616517,0.693347003,0.127653888,-0.264087554,-0.01757766,0,0,0,0,0,0.694312839,-0.341110891,-0.125293457,0.023308282,0.236265361,0,0,0,0,0,-0.716675767,0.634754515,-0.114498053,-0.005705089,-0.280333803
355,0,0,0,0,0,-0.940525187,-0.186961125,0.71266702,-0.013942768,-0.149220549,0,0,0,0,0,0.228802413,0.238780582,0.592411042,-0.063784979,0.217764586,0,0,0,0,0,-0.251121143,0.38246999,0.016356401,-0.044208148,-0.135860565
356,0,0,0,0,0,0.144862492,0.476141618,-0.155268252,-0.045548545,0.028383482,0,0,0,0,0,-0.288508598,0.048766351,0.227226887,-0.054205021,-0.190749331,0,0,0,0,0,-0.155549184,0.382391727,-0.175624512,-0.240181438,0.027940433
357,0,0,0,0,0,-0.424414946,0.614371665,0.089840037,-0.069811212,-0.648068388,0,0,0,0,0,-0.680203902,-0.446404583,0.019149421,-0.060049967,-0.136529556,0,0,0,0,0,0.20290956,0.39477746,0.021882639,0.052642066,-0.210563119
358,0,0,0,0,0,0,0.224685865,-0.695282917,0.320856773,-0.196370961,0,0,0,0,0,0,-0.076909276,-0.238259625,-0.252041673,-0.117136668,0,0,0,0,0,0,-0.024209766,0.387410713,-0.048005866,0.098700386
359,0,0,0,0,0,-0.941702627,0.032242973,-0.474660929,0.018312767,-0.023286676,0,0,0,0,0,-0.303841161,-0.432963062,0.022932161,0.421457284,-0.052272906,0,0,0,0,0,-0.144487753,-0.253679801,0.702639748,-0.072563256,-0.033435601
360,0,0,0,0,-0.611576051,0,0.336127894,-0.792788672,0.091921717,-0.170658524,0,0,0,0,0.588011064,0,-0.535164867,-0.582859588,0.199101643,0.520608251,0,0,0,0,0.52935595,0,0.223661773,0.17821566,0.150970921,0.102509331
361,0,0,0,0,0,0,-0.1256573,0.124036738,0.198407046,0.017600922,0,0,0,0,0,0,0.341204273,0.486905456,0.022091563,-0.454928062,0,0,0,0,0,0,0.280108995,-0.410272415,0.419693677,0.043320792
362,0,0,0,0,0,0,-0.914121213,-0.054465189,-0.164143723,-0.051708823,0,0,0,0,0,0,-0.308819067,-0.208881794,-0.29845384,0.0236475,0,0,0,0,0,0,-0.262703619,-0.36451335,-0.092690568,-0.199952402
363,0,0,0,0,0.047618469,-0.383626393,-0.104312828,0.27803002,-0.517841669,0.138893906,0,0,0,0,-0.978103608,0.892706017,0.218126297,0.156798338,-0.749472267,-0.056552421,0,0,0,0,-0.202597666,0.2364461,-0.392060065,0.108294164,-0.076249304,-0.10800904
364,0,0,0,0,0,0,0,-0.438856243,0.519489809,0.419702343,0,0,0,0,0,0,0,-0.082441799,-0.273353769,-0.291956378,0,0,0,0,0,0,0,0.013264129,-0.32217876,0.018233863
365,0,0,0,0,0,0,-0.452160202,-0.507572923,0.109402369,0.189725173,0,0,0,0,0,0,0.032758944,0.201675319,-0.023833254,0.06450125,0,0,0,0,0,0,-0.531311951,0.244638023,0.05428968,0.03332463
366,0,0,0,0,0,0,0.916088425,-0.052106687,0.145258383,0.083272214,0,0,0,0,0,0,0.06292708,-0.388997561,-0.049459864,0.355469821,0,0,0,0,0,0,0.396007804,-0.212663039,-0.105687383,-0.009045233
367,0,0,0,0,0,0.766358902,-0.200847473,0.20033917,0.114683451,-0.149458352,0,0,0,0,0,0.641341774,-0.866811,-0.474428105,-0.02886124,0.057347499,0,0,0,0,0,-0.037077801,0.414613993,0.229500991,0.022079441,-0.035685198
368,0,0,0,0,0,-0.063179312,-0.786360961,-0.166741154,-0.027387829,0.134750685,0,0,0,0,0,-0.984891928,-0.293427527,-0.068599731,0.173390769,0.472028571,0,0,0,0,0,0.161233573,0.346122607,-0.185927772,0.062890911,-0.045367059
369,0,0,0,0,0,0.471366022,0,0.436164181,-0.398913956,-0.010211907,0,0,0,0,0,-0.823045364,0,-0.896654354,0.299226991,0.121950622,0,0,0,0,0,-0.316876005,0,-0.075972203,0.101463111,0.053210079
370,0,0,0,0,0,-0.647461891,0.146197998,-0.006254974,-0.531332165,0.13308092,0,0,0,0,0,-0.761940827,0.786419415,-0.272547493,0.038252876,0.006958255,0,0,0,0,0,0.015468531,-0.600142191,0.149091665,0.131653241,-0.148778499
371,0,0,0,0,0,0,0.785894948,0.028813984,-0.33896808,-0.109196922,0,0,0,0,0,0,0.597289529,0.082169779,-0.140697554,0.338741391,0,0,0,0,0,0,-0.160044837,0.098710229,-0.007823074,0.12346374
372,0,0,0,0,0,0.779486522,0.809185915,0.695463367,0.360401541,0.86248481,0,0,0,0,0,0.253601921,0.511530233,0.342456483,-0.331909335,0.295669045,0,0,0,0,0,-0.572788641,0.289058776,0.355335424,0.044331124,0.410730773
373,0,0,0,0,0,0,0.946584389,-0.295796288,-0.057017636,0.321972266,0,0,0,0,0,0,0.315983798,0.475822275,0.162511128,-0.207848374,0,0,0,0,0,0,-0.064282453,-0.13686638,-0.089313311,0.013987094
374,0,0,0,0,0,-0.35552861,-0.863203736,0.305164271,0.22727226,-0.016944012,0,0,0,0,0,-0.926630813,0.50061866,0.382831779,-0.437198901,0.02348132,0,0,0,0,0,-0.122289593,0.065270729,0.150838402,-0.089336351,0.03569994
375,0,0,0,0,0,0,0,0,-0.158609351,-0.126050012,0,0,0,0,0,0,0,0,0.335146389,0.23932382,0,0,0,0,0,0,0,0,0.048263233,0.095013209
376,0,0,0,0,0,0.437106221,0.371286245,0.113502242,0.205121627,-0.36676375,0,0,0,0,0,0.892129601,-0.043453016,0.087566071,-0.507670511,0.128619121,0,0,0,0,0,-0.114205632,-0.305573667,-0.312274106,0.177693471,0.021533169
377,0,0,0,0,0,-0.752422434,0.205675834,-0.212566516,-0.099710707,0.072732284,0,0,0,0,0,-0.049928577,0.925120708,-0.432559718,0.030430939,-0.313118223,0,0,0,0,0,0.159421864,-0.319138099,-0.045752746,-0.102811159,0.062594739
378,0,0,0,0,0,0,0.013612617,0.084977069,-0.100136036,-0.038960786,0,0,0,0,0,0,0.029105342,-0.288320849,-0.104102906,0.281451519,0,0,0,0,0,0,-0.1446798,-0.426811065,-0.244371397,0.170147656
379,0,0,0,0,0,0,0.246591553,-0.113581945,-0.025805863,0.029738355,0,0,0,0,0,0,0.21638314,-0.281749694,0.037181418,-0.097385979,0,0,0,0,0,0,0.051203179,-0.148157082,0.001667891,-0.308083094
380,0,0,0,0,0,0.424315275,-0.476718022,0.35367717,-0.398857871,0.356010564,0,0,0,0,0,0.829341576,0.878292967,0.087288198,0.086491102,-0.21253189,0,0,0,0,0,-0.363523174,-0.036625004,-0.457637849,0.006953331,-0.102660804
381,0,0,0,0,0,0,-0.844470416,0.434381946,0.152808056,0.118357865,0,0,0,0,0,0,-0.534244191,0.752162268,0.018821031,0.225406586,0,0,0,0,0,0,0.038116427,0.495544396,-0.181910728,0.142315217
382,0,0,0,0,0,0,-0.302756274,-0.232255912,0.264039406,0.449346321,0,0,0,0,0,0,0.332908311,0.417082755,0.331040862,0.121311358,0,0,0,0,0,0,0.434289703,-0.203529484,-0.098925699,0.009841472
383,0,0,0,0,0,0,0,0.009530107,-0.687904528,-0.019026533,0,0,0,0,0,0,0,-0.216909093,0.371916776,-0.334482076,0,0,0,0,0,0,0,0.051427524,0.205174165,-0.19964366
384,0,0,0,0,0,0,0.031971508,0.035990984,0.162480795,0.29548718,0,0,0,0,0,0,0.344751904,0.204584855,-0.257777729,0.056826806,0,0,0,0,0,0,0.181405025,0.080745268,0.037589068,-0.276773705
385,0,0,0,0,0,0,-0.397191904,0.306681065,0.046612241,-0.225435361,0,0,0,0,0,0,0.902133809,-0.243497176,-0.311251743,-0.182069063,0,0,0,0,0,0,-0.168502765,0.256959851,-0.011004028,-0.138697579
386,0,0,0,0,0,0,-0.763593456,-0.570138158,0.139527668,0.096776999,0,0,0,0,0,0,0.575323128,0.263737445,-0.491031139,0.042986486,0,0,0,0,0,0,0.150028387,0.349968232,0.132968406,-0.293203761
387,0,0,0,0,0,0,-0.208328324,-0.047749442,0.054631775,0.025034079,0,0,0,0,0,0,-0.103184438,0.963900672,-0.33238265,0.075541382,0,0,0,0,0,0,-0.645525841,0.094544508,0.279185757,0.061011381
388,0,0,0,0,0,0,0.336752736,0.795084578,-0.005205721,-0.090106983,0,0,0,0,0,0,-0.700787513,0.366059198,0.044260189,0.335527855,0,0,0,0,0,0,-0.061815721,0.225932089,-0.000750729,0.073436881
389,0,0,0,0,0,0,-0.346173229,0.206268759,-0.186456404,0.468956488,0,0,0,0,0,0,-0.045469757,0.330533789,0.168347796,-0.470234248,0,0,0,0,0,0,-0.086097971,0.029639473,0.003187805,0.108727982
390,0,0,0,0,0,0,-0.117929183,0.044847977,0.487053016,-0.329577717,0,0,0,0,0,0,0.985646902,-0.493833159,-0.312236457,-0.003889345,0,0,0,0,0,0,-0.120801041,-0.136651963,0.055750485,-0.339088642
391,0,0,0,0,0,0.494767533,0.439372878,0.588974874,0.467911081,0.226913045,0,0,0,0,0,0.787857428,-0.177731501,0.803078989,0.000304337,-0.229774137,0,0,0,0,0,0.366723003,-0.352969009,-0.090403176,0.215750447,-0.199959343
392,0,0,0,0,0,0,-0.516097779,0.057242397,-0.092516132,-0.754266187,0,0,0,0,0,0,0.804801666,0.284715702,-0.02090512,-0.414471811,0,0,0,0,0,0,0.070166158,0.01804562,0.0897449,-0.068421222
393,0,0,0,0,0,0,0.070689976,0.176858625,0.272515754,-0.562258534,0,0,0,0,0,0,-0.960627381,0.202298622,0.451476811,0.251961163,0,0,0,0,0,0,-0.268696785,0.019239549,0.247823295,-0.147673503
394,0,0,0,0,0,0,0.911249518,0.03296227,-0.150983446,-0.22118496,0,0,0,0,0,0,0.389909301,0.178595844,0.059004978,-0.035802436,0,0,0,0,0,0,0.132646342,0.234711747,-0.034996947,0.024554006
395,0,0,0,0,0,-0.248007809,-0.226887442,0.771237877,0.188236919,0.196902775,0,0,0,0,0,0.75102817,-0.004539029,0.62559139,0.216786401,0.368630578,0,0,0,0,0,-0.61192223,-0.297495957,-0.117590601,0.07650034,0.038971981
396,0,0,0,0,0,-0.015266493,-0.00281705,0.957495857,-0.033642388,-0.282415635,0,0,0,0,0,0.922293739,-0.266993288,0.165288891,0.35805511,-0.190798071,0,0,0,0,0,-0.046097077,-0.26571246,0.236392188,-0.023296126,0.01269995
397,0,0,0,0,0,0,-0.469967099,0.03636042,0.619872056,0.110564791,0,0,0,0,0,0,0.406482457,0.6112912,-0.436546961,-0.295077112,0,0,0,0,0,0,0.123601927,-0.152738492,-0.652062409,0.392547558
398,0,0,0,0,0,-0.858161667,0.309799014,-0.003471129,0.195175705,0.228792258,0,0,0,0,0,0.513082382,-0.114753901,-0.312423403,0.092048102,0.051875373,0,0,0,0,0,0.017464883,0.046847798,-0.145372321,0.077679558,0.188381601
399,0,0,0,0,0,0,0.466751384,-0.845837711,-0.181720848,-0.167462543,0,0,0,0,0,0,0.10310913,0.019583104,-0.315974419,0.026611335,0,0,0,0,0,0,-0.024334722,0.483219769,-0.297227833,0.193385868
400,0,0,0,0,0,0,-0.329919447,-0.517279992,-0.27881625,0.238186138,0,0,0,0,0,0,-0.044750013,-0.18494201,-0.047439173,0.115529492,0,0,0,0,0,0,0.053956955,-0.123948421,0.000685284,-0.128593802
401,0,0,0,0,0,0,0,0,-0.016722131,-0.311626874,0,0,0,0,0,0,0,0,-0.18221355,-0.118248288,0,0,0,0,0,0,0,0,-0.178805846,-0.070442859
402,0,0,0,0,0,-0.433383438,0,0.457273846,0.10801983,0.241195955,0,0,0,0,0,0.878522546,0,-0.650702436,-0.069792173,0.177359572,0,0,0,0,0,-0.200940122,0,-0.386902889,0.045852621,-0.171350577
403,0,0,0,0,0,0,-0.845279665,0.069890775,-0.093754334,-0.005475544,0,0,0,0,0,0,-0.525616045,-0.065194941,0.218530552,-0.233602366,0,0,0,0,0,0,-0.096073209,-0.13160043,0.03537845,-0.071562884
404,0,0,0,0,0,-0.999927608,-0.12667081,-0.129318516,-0.412819975,-0.217325669,0,0,0,0,0,-0.012025582,0.016901896,-0.004213076,0.223342168,-0.164659273,0,0,0,0,0,0.000406099,-0.019816526,0.157642745,-0.420093875,0.280672512
405,0,0,0,0,0,0.326981701,-0.347560911,0.129061711,0.235818267,-0.093368999,0,0,0,0,0,-0.944283627,-0.210058996,-0.14577618,-0.020572709,-0.160869033,0,0,0,0,0,-0.037568586,0.913825274,0.328504304,0.130201978,0.049809855
406,0,0,0,0,0,0.719543544,-0.061793366,0.085482882,-0.74999302,0.146881952,0,0,0,0,0,-0.662006289,-0.27248451,0.301996298,0.28838506,-0.253167839,0,0,0,0,0,0.20977312,0.19725512,-0.268526978,-0.163252515,0.110306773
407,0,0,0,0,0,0,0.951422028,0.323398438,-0.110436416,0.398745832,0,0,0,0,0,0,0.263945926,-0.3909518,-0.102053399,0.020103874,0,0,0,0,0,0,0.158520263,-0.134113238,0.137483139,0.143584618
408,0,0,0,0,0,0,-0.850840079,-0.362657781,0.151018692,0.219575644,0,0,0,0,0,0,0.278986376,-0.087303914,-0.031420613,0.230061442,0,0,0,0,0,0,0.445238994,-0.145574957,-0.151246182,-0.052181504
409,0,0,0,0,0,0,0,0.216973366,-0.555094013,0.109194311,0,0,0,0,0,0,0,0.553749559,0.530494377,-0.077227793,0,0,0,0,0,0,0,0.154001239,-0.317249116,0.357585666
410,0,0,0,0,0,0,-0.93702528,-0.245832592,-0.040556708,-0.240335889,0,0,0,0,0,0,-0.031607319,0.188958005,-0.144034454,-0.101760953,0,0,0,0,0,0,0.34782841,0.379363382,-0.29868995,0.053790354
411,0,0,0,0,0,0,0.184877745,0,-0.404913203,0.127146775,0,0,0,0,0,0,0.007149846,0,0.045178357,-0.100488786,0,0,0,0,0,0,-0.319433064,0,-0.209151546,-0.156771258
412,0,0,0,0,0,0.393195972,-0.172036435,-0.422513781,0.001701022,0.307291839,0,0,0,0,0,-0.874069011,0.197225965,0.510834073,0.051764974,0.076141462,0,0,0,0,0,-0.285307365,0.62677549,-0.304157864,0.090913338,-0.050950483
413,0,0,0,0,0.444145574,0,0.11725238,-0.180369798,-0.133440679,0.238300485,0,0,0,0,-0.895405359,0,0.394844007,0.569596887,-0.095938177,-0.246471845,0,0,0,0,0.03136802,0,0.611398563,0.285791152,-0.08761629,-0.036251909
414,0,0,0,0,0,0,0.349216169,0.27512001,0.250381237,0.308696805,0,0,0,0,0,0,-0.936616098,-0.166667296,-0.883317257,0.540784662,0,0,0,0,0,0,-0.028255125,0.038361147,0.034768632,-0.070628101
415,0,0,0,0,0,0,0.025739574,0.461416937,0.226687056,0.423092141,0,0,0,0,0,0,-0.194976923,-0.204943443,0.184245167,-0.196842991,0,0,0,0,0,0,-0.073509313,0.009598859,-0.143702877,0.314739225
416,0,0,0,0,0,0,-0.297885465,0.036621152,0.167686058,0.987044551,0,0,0,0,0,0,-0.164055768,-0.239953514,-0.149669198,0.147815792,0,0,0,0,0,0,0.191059023,0.310070075,-0.012100071,-0.028539981
417,0,0,0,0,0,0,-0.56300714,0.10241051,0.823025875,-0.083836248,0,0,0,0,0,0,-0.575388244,0.394048265,-0.26020393,0.392416844,0,0,0,0,0,0,-0.022900724,0.237813989,-0.102427954,-0.127202134
418,0,0,0,0,0,0,-0.713131963,0.748304948,0.186929822,-0.470144222,0,0,0,0,0,0,0.5632502,0.163430668,0.237296656,0.541977964,0,0,0,0,0,0,0.123023638,-0.48857245,-0.039828365,0.09795604
419,0,0,0,0,0,0,0.388791538,-0.491682095,0.143420007,-0.822627588,0,0,0,0,0,0,-0.2350418,-0.404020955,0.142549624,0.069453496,0,0,0,0,0,0,0.890840329,0.059604069,-0.132232374,-0.412925564
420,0,0,0,0,0,0,0.330786556,0.043753666,0.117354245,-0.010649432,0,0,0,0,0,0,0.741868235,-0.067447726,-0.405364946,-0.222344592,0,0,0,0,0,0,-0.178631416,0.285020986,0.159165427,0.065221575
421,0,0,0,0,0,0,-0.075473059,-0.662929312,-0.566756453,0.309962967,0,0,0,0,0,0,0.252082965,0.267745419,-0.254378137,-0.038581883,0,0,0,0,0,0,0.071480826,-0.248793466,-0.285223205,-0.08025864
422,0,0,0,0,0,0,0.239474838,0.095131062,0.469188126,0.598809656,0,0,0,0,0,0,-0.004116311,0.116446206,0.5980108,0.020488403,0,0,0,0,0,0,0.343416222,-0.057893833,-0.139003671,-0.394901222
423,0,0,0,0,0,0,0.607283929,0.674090155,0.215191047,0.171084892,0,0,0,0,0,0,0.742681557,0.399774261,-0.05945504,-0.221515199,0,0,0,0,0,0,0.281109481,-0.214649468,-0.031658238,0.106152145
424,0,0,0,0,0,0,0.720440323,0.474849993,-0.318222171,-0.240501084,0,0,0,0,0,0,0.107558564,-0.478753268,-0.066605491,-0.247095647,0,0,0,0,0,0,0.685125461,0.045646751,-0.079808713,0.114104635
425,0,0,0,0,0,0,0.856121479,0.934583061,-0.002485088,0.270282959,0,0,0,0,0,0,-0.510270739,0.351031592,-0.071486389,-0.143960212,0,0,0,0,0,0,-0.081729951,0.057717615,-0.305966076,-0.067230384
426,0,0,0,0,0,0,-0.003971877,0.196771939,0.590356807,0.177491359,0,0,0,0,0,0,0.277454588,0.071762999,0.289342088,0.064532808,0,0,0,0,0,0,-0.169000494,-0.195489567,-0.369453129,0.185303401
427,0,0,0,0,0,0,0,0.163258682,-0.991588037,0.17396192,0,0,0,0,0,0,0,-0.313535121,0.07441535,-0.140763975,0,0,0,0,0,0,0,-0.125145351,0.105903358,-0.058577621
428,0,0,0,0,0,0,0.432783494,0.004924561,-0.581247565,0.740477932,0,0,0,0,0,0,0.159955275,0.390698319,-0.324042388,-0.375670111,0,0,0,0,0,0,0.239866063,-0.261848723,0.18111978,0.088390584
429,0,0,0,0,0,0,-0.602457641,-0.445601232,-0.589435055,-0.215808823,0,0,0,0,0,0,0.395169897,0.692104246,-0.427715849,0.03330471,0,0,0,0,0,0,-0.693459114,-0.256558567,-0.044505441,-0.016229258
430,0,0,0,0,0,0,0,-0.231598044,-0.159705432,-0.051014179,0,0,0,0,0,0,0,0.107173204,0.425399898,-0.427508505,0,0,0,0,0,0,0,-0.337882248,-0.196537891,-0.262379844
431,0,0,0,0,0.744222119,0,-0.495389057,-0.761869917,0.184881957,0.18345174,0,0,0,0,-0.663949989,0,0.199250451,-0.62581485,0.24071224,0.247054176,0,0,0,0,0.07282754,0,0.232938658,-0.002960663,0.04071707,-0.115275373
432,0,0,0,0,0,0,0,0.061650629,0.001703849,-0.095299314,0,0,0,0,0,0,0,-0.479996852,-0.109690933,-0.309877028,0,0,0,0,0,0,0,-0.171403399,-0.197889838,-0.224822703
433,0,0,0,0,0,-0.208496081,-0.06798759,0.253186577,0.071295785,-0.207560926,0,0,0,0,0,-0.624229292,0.367822104,0.216023468,-0.071540641,0.184262829,0,0,0,0,0,0.012399288,-0.143094439,0.186244451,-0.036030676,-0.172352605
434,0,0,0,0,0,0,-0.412526634,0.089397781,0.643319623,0.706004625,0,0,0,0,0,0,-0.904438416,-0.250421695,0.326436679,0.352341287,0,0,0,0,0,0,-0.108687296,-0.061671891,0.178934593,0.272617845
435,0,0,0,0,0,0,0.118431875,0,-0.238817989,-0.029468337,0,0,0,0,0,0,0.104580171,0,-0.108798474,0.319911915,0,0,0,0,0,0,0.322138442,0,0.181990676,-0.231742418
436,0,0,0,0,0,0,0,0.076531714,0.686044717,-0.041375176,0,0,0,0,0,0,0,-0.244061445,0.490227511,-0.118255845,0,0,0,0,0,0,0,-0.289892029,0.091881616,-0.338227892
437,0,0,0,0,0,0.843538999,0.065771542,0.313856245,-0.296655362,0.232262503,0,0,0,0,0,0.322909531,-0.272211682,-0.947092964,-0.30847712,-0.04709038,0,0,0,0,0,0.429151944,0.030692452,0.067150396,0.044620343,-0.006273256
438,0,0,0,0,0,0,0.009319165,-0.244268363,0.314547519,0.488602868,0,0,0,0,0,0,0.262001588,-0.699799861,-0.034314443,0.393973154,0,0,0,0,0,0,0.336325456,-0.065629705,0.175627232,-0.165589225
439,0,0,0,0,0,0,-0.189827622,0.229629878,0.056828007,-0.13847879,0,0,0,0,0,0,-0.225189385,-0.409131404,-0.181689547,0.008540493,0,0,0,0,0,0,0.402415098,-0.649812993,-0.175312459,0.130803341
440,0,0,0,0,0,0,0.423387566,0.755331909,0.353444161,-0.41600294,0,0,0,0,0,0,0.889416058,-0.655003104,-0.119412771,-0.128469426,0,0,0,0,0,0,-0.172284776,-0.021086531,-0.055962381,0.009800448
441,0,0,0,0,0,-0.836667721,0.67189692,-0.154831064,0.984140005,0.339205421,0,0,0,0,0,-0.47988482,-0.683745362,-0.081480342,-0.101920673,-0.230586693,0,0,0,0,0,-0.26400319,0.284687213,0.22350023,-0.14519169,0.062337483
442,0,0,0,0,0,0,0,0.796526393,0.262770238,-0.042001277,0,0,0,0,0,0,0,0.596835077,-0.286443638,-0.179549574,0,0,0,0,0,0,0,0.096610538,0.170403482,-0.129756414
443,0,0,0,0,0,0,0,-0.525882569,-0.601213759,0.098978036,0,0,0,0,0,0,0,0.805231589,-0.776988265,-0.130679968,0,0,0,0,0,0,0,0.273951841,-0.186631329,0.211673018
444,0,0,0,0,0,0.002770075,0,-0.456119579,-0.982842348,-0.003165506,0,0,0,0,0,0.574658046,0,0.489099068,0.184292525,0.053838753,0,0,0,0,0,0.81838894,0,0.430205097,-0.007561984,0.207230425
445,0,0,0,0,0,-0.690739535,0.707308034,0.05556777,0.619282855,-0.124949849,0,0,0,0,0,0.701179329,-0.316257893,-0.983602409,0.195151683,0.093489914,0,0,0,0,0,-0.176710055,0.011617005,0.171576583,0.163312207,0.421748558
446,0,0,0,0,0,0,0.959536396,-0.246578816,-0.044365873,-0.218844839,0,0,0,0,0,0,0.271344888,-0.438933139,-0.553873758,0.19196451,0,0,0,0,0,0,0.075245304,-0.864023488,0.024317833,-0.054321131
447,0,0,0,0,0,0,-0.400606315,-0.826063192,-0.407180959,-0.663775761,0,0,0,0,0,0,0.099085175,-0.530940338,-0.167890997,-0.286385394,0,0,0,0,0,0,0.102943305,0.18900254,0.579330046,-0.198716558
448,0,0,0,0,0,0,0.025653036,0.157590183,-0.435829779,0.072865931,0,0,0,0,0,0,0.475375243,0.069551509,0.07750162,-0.021247498,0,0,0,0,0,0,-0.189218521,-0.022908664,-0.515890168,-0.058953651
449,0,0,0,0,0,0,0,0.19179874,-0.029364241,-0.02943175,0,0,0,0,0,0,0,-0.307412364,-0.024359441,-0.123765223,0,0,0,0,0,0,0,-0.932046609,-0.21740887,0.066431566
450,0,0,0,0,0,0,-0.142582763,-0.23833913,0.284960137,0.420115008,0,0,0,0,0,0,-0.868614676,0.199117552,0.473792975,-0.160358192,0,0,0,0,0,0,0.474529979,-0.016603175,0.036097509,-0.031683912
451,0,0,0,0,0,0,0.090300572,0,0.454803641,0.200295045,0,0,0,0,0,0,0.192272852,0,0.76378989,0.173689342,0,0,0,0,0,0,-0.045347126,0,0.318645966,0.04707621
