# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Updated, 05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Name,"Mean three principle semiaxis r_lambda1<r_lambda2< r_lambda3 (Mpc/h) for group of halos of the same size n_p, where n_p is number of particles in halo. Halos are assumed to be ellopsoids with three principle axis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [3]  Eq. (67)(68)(69) Fig. 19,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [4],https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [5]  ,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,,,,,,,,,,,,,,,,,,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
208,0,0,0,0,0,0.064602834,0.096164362,0.108655182,0.124000585,0.133455397,0,0,0,0,0,0.09141077,0.129552564,0.137554294,0.161207585,0.19073294,0,0,0,0,0,0.207925049,0.214641677,0.250365414,0.270928418,0.311207852
209,0,0,0,0,0,0.063076133,0.092332595,0.111664539,0.125276679,0.140309456,0,0,0,0,0,0.07137569,0.122566078,0.151829402,0.160379888,0.180696179,0,0,0,0,0,0.184821615,0.244192068,0.255035409,0.261201843,0.286955202
210,0,0,0,0,0.051331305,0.076925432,0.093524027,0.10850203,0.124041159,0.136667953,0,0,0,0,0.075050663,0.101502712,0.132727472,0.141115849,0.163522313,0.177158623,0,0,0,0,0.134678873,0.205110658,0.232836765,0.27213947,0.27030605,0.307095734
211,0,0,0,0,0.05897767,0.067229913,0.09832112,0.103524435,0.127738324,0.134944569,0,0,0,0,0.076597512,0.095605402,0.128480734,0.139915949,0.171970334,0.182783264,0,0,0,0,0.151166457,0.185710921,0.204097093,0.247767112,0.283695972,0.305014442
212,0,0,0,0,0.047199072,0.066636155,0.094858696,0.105261651,0.12708125,0.136802307,0,0,0,0,0.078498168,0.10289325,0.136168562,0.146588063,0.172359162,0.179345864,0,0,0,0,0.134550105,0.209418508,0.246816485,0.281044962,0.29905426,0.3149518
213,0,0,0,0,0,0.071576056,0.092238433,0.11068548,0.132161178,0.140768984,0,0,0,0,0,0.0975272,0.135579982,0.146748171,0.165243974,0.195005038,0,0,0,0,0,0.153931282,0.237933057,0.241000695,0.28767771,0.270849143
214,0,0,0,0,0.061074083,0.08017163,0.092436878,0.107481746,0.13108252,0.138247882,0,0,0,0,0.080481384,0.094596942,0.133783922,0.148769309,0.166157096,0.184312773,0,0,0,0,0.162644182,0.199399763,0.249796148,0.247433222,0.279180329,0.31188901
215,0,0,0,0,0.046885305,0.069411236,0.094241991,0.1101828,0.124198608,0.140231329,0,0,0,0,0.078724662,0.093290582,0.131607646,0.138362997,0.177524121,0.182396827,0,0,0,0,0.125446805,0.16559503,0.241084262,0.244956444,0.289404147,0.297523982
216,0,0,0,0,0,0.065889021,0.100130668,0.114658395,0.129978476,0.140255068,0,0,0,0,0,0.108145759,0.135485656,0.142064867,0.176075103,0.179639311,0,0,0,0,0,0.342049564,0.26918831,0.239058869,0.284960365,0.323679321
217,0,0,0,0,0,0.062340521,0.094892948,0.105840188,0.128207245,0.138290457,0,0,0,0,0,0.089736238,0.132904147,0.142790944,0.173811697,0.177392293,0,0,0,0,0,0.200023809,0.259051399,0.269830109,0.307943138,0.276285197
218,0,0,0,0,0.049036706,0.06567812,0.09064863,0.104197622,0.130912736,0.141381834,0,0,0,0,0.069605085,0.100455764,0.125163438,0.140180402,0.176901855,0.18094,0,0,0,0,0.118090493,0.202417419,0.226062031,0.224478647,0.254711505,0.299133318
219,0,0,0,0,0.057882084,0.073039546,0.088653446,0.105674552,0.12711357,0.139699698,0,0,0,0,0.084287416,0.094344078,0.121114628,0.147596416,0.172823684,0.191658361,0,0,0,0,0.142253039,0.189900112,0.212017157,0.251128187,0.301670167,0.326855244
220,0,0,0,0,0.06060423,0.067907583,0.099992105,0.107663073,0.129031507,0.136951289,0,0,0,0,0.067902558,0.104715567,0.138022079,0.151345081,0.166335972,0.181407785,0,0,0,0,0.165025464,0.144443998,0.217725191,0.239581678,0.271641068,0.313060728
221,0,0,0,0,0,0.074550557,0.102322045,0.103018233,0.127714622,0.15041368,0,0,0,0,0,0.093751456,0.13575947,0.147303511,0.172895937,0.184570164,0,0,0,0,0,0.171621566,0.251114811,0.279861688,0.299380643,0.333640948
222,0,0,0,0,0,0.066872296,0.092771193,0.111188005,0.128142007,0.136066954,0,0,0,0,0,0.088458376,0.126572366,0.145638472,0.164765115,0.192700619,0,0,0,0,0,0.143767856,0.253297212,0.246264711,0.266971086,0.308280139
223,0,0,0,0,0.045871331,0.071254301,0.097910746,0.107853597,0.13505791,0.136009619,0,0,0,0,0.059953917,0.115288159,0.124760525,0.145300004,0.17227077,0.184200654,0,0,0,0,0.114687833,0.195579958,0.2297641,0.209577546,0.289493511,0.289264278
224,0,0,0,0,0,0.06986458,0.094753154,0.105568829,0.130580315,0.14401769,0,0,0,0,0,0.124619639,0.121417266,0.146336335,0.176322416,0.188969491,0,0,0,0,0,0.184027251,0.224259139,0.265103869,0.294356443,0.296195385
225,0,0,0,0,0,0.068082892,0.095200171,0.111424815,0.129943162,0.143856056,0,0,0,0,0,0.09728454,0.129628117,0.145553337,0.172367177,0.189001421,0,0,0,0,0,0.16953776,0.232882703,0.240212687,0.30200074,0.304770835
226,0,0,0,0,0.058183108,0.079851194,0.08486138,0.108477933,0.12842415,0.144758065,0,0,0,0,0.084069171,0.106580229,0.136012856,0.13816364,0.166834469,0.194593684,0,0,0,0,0.188886028,0.143288051,0.216527851,0.281451632,0.27798287,0.305954078
227,0,0,0,0,0.061203728,0.070256151,0.094433995,0.109210691,0.133745709,0.145021771,0,0,0,0,0.081197318,0.102825878,0.13023343,0.146484317,0.171652353,0.184619509,0,0,0,0,0.10258365,0.198350185,0.270985747,0.262432957,0.269876482,0.327434846
228,0,0,0,0,0.06518111,0.066011702,0.094943803,0.114914751,0.130048433,0.145959028,0,0,0,0,0.079536804,0.09975566,0.131284706,0.144465709,0.170761542,0.179332427,0,0,0,0,0.119544661,0.147860866,0.209686938,0.24892547,0.302148523,0.263844991
229,0,0,0,0,0,0.082171854,0.094322511,0.1066257,0.136161924,0.143363094,0,0,0,0,0,0.106382327,0.13890827,0.151249133,0.180441777,0.185298935,0,0,0,0,0,0.173702491,0.222214891,0.299045999,0.303654203,0.281965296
230,0,0,0,0,0,0.074170705,0.09315718,0.108978909,0.129928507,0.142006337,0,0,0,0,0,0.113855537,0.120759893,0.146326917,0.163975623,0.193660992,0,0,0,0,0,0.178881153,0.218349138,0.23915837,0.291199877,0.324507895
231,0,0,0,0,0.058297283,0.072760177,0.101236615,0.108978867,0.129926126,0.143788114,0,0,0,0,0.09492946,0.091646944,0.127181678,0.145370459,0.172188523,0.190469242,0,0,0,0,0.208721187,0.122778406,0.22995783,0.260531395,0.293593443,0.309170683
232,0,0,0,0,0,0.070774831,0.092710556,0.11091021,0.133098355,0.145922622,0,0,0,0,0,0.106329039,0.12752587,0.145754997,0.175650964,0.182206163,0,0,0,0,0,0.125570892,0.229226588,0.282222,0.297646646,0.316322655
233,0,0,0,0,0,0.07639469,0.091481738,0.110582392,0.134125485,0.138960024,0,0,0,0,0,0.102031023,0.127777684,0.144646381,0.175847783,0.18594895,0,0,0,0,0,0.165136542,0.238362231,0.286340603,0.300913825,0.276391184
234,0,0,0,0,0.064235298,0.075271778,0.097052651,0.113801971,0.132724359,0.140988134,0,0,0,0,0.071400267,0.09676947,0.135635216,0.140055492,0.173604626,0.194521105,0,0,0,0,0.153566376,0.158439239,0.203200102,0.241079465,0.249990407,0.295976231
235,0,0,0,0,0,0.079374148,0.100645051,0.113163706,0.130764115,0.143972953,0,0,0,0,0,0.109448938,0.132799579,0.15364558,0.16823896,0.191314461,0,0,0,0,0,0.213118499,0.236742977,0.275997264,0.267767108,0.327863194
236,0,0,0,0,0,0,0.100842519,0.109504237,0.128832961,0.144203372,0,0,0,0,0,0,0.143307168,0.14665953,0.185537025,0.18508984,0,0,0,0,0,0,0.242513686,0.257815853,0.325777734,0.293826079
237,0,0,0,0,0,0.066225747,0.096644938,0.126733089,0.134700836,0.139952194,0,0,0,0,0,0.092158281,0.124144217,0.153664072,0.176439828,0.182596985,0,0,0,0,0,0.15572571,0.255353841,0.264358614,0.295708574,0.309482294
238,0,0,0,0,0.068389905,0.075237369,0.102237481,0.112328513,0.131511602,0.147601675,0,0,0,0,0.100625529,0.085912336,0.133040545,0.142718985,0.174622884,0.201376095,0,0,0,0,0.225687761,0.211969668,0.216666556,0.245150461,0.26920323,0.306658753
239,0,0,0,0,0.054564069,0,0.102469284,0.127275852,0.135338246,0.150859019,0,0,0,0,0.087219809,0,0.134536183,0.156066558,0.180282835,0.194631715,0,0,0,0,0.100804961,0,0.220793923,0.27447696,0.266822501,0.342161673
240,0,0,0,0,0.055661734,0.078376384,0.100283405,0.110923472,0.132113218,0.153073269,0,0,0,0,0.076980914,0.090931764,0.136579294,0.153944873,0.179868089,0.19990551,0,0,0,0,0.162891179,0.152687782,0.232989999,0.250776826,0.271362295,0.318389571
241,0,0,0,0,0,0.059134516,0.097012856,0.109202914,0.136227879,0.148188406,0,0,0,0,0,0.098780865,0.133442445,0.142250078,0.185746486,0.194237934,0,0,0,0,0,0.144381853,0.273284169,0.25890587,0.306284963,0.335162828
242,0,0,0,0,0,0.074699033,0.102976859,0.110169377,0.136597542,0.142719017,0,0,0,0,0,0.10163387,0.136916181,0.162920278,0.179019446,0.18197322,0,0,0,0,0,0.217464621,0.251852817,0.221728512,0.288875202,0.277335239
243,0,0,0,0,0,0.070477138,0.099288578,0.105928904,0.131170194,0.139933566,0,0,0,0,0,0.094898313,0.132589105,0.150997794,0.177288891,0.184429941,0,0,0,0,0,0.125637393,0.252226873,0.26184367,0.295282134,0.308126012
244,0,0,0,0,0,0.063298887,0.097950091,0.107665662,0.134028532,0.139641092,0,0,0,0,0,0.090883289,0.135037415,0.152374061,0.172149475,0.184478194,0,0,0,0,0,0.142167281,0.236026909,0.299656078,0.316511178,0.379371412
245,0,0,0,0,0.049560987,0.075002647,0.106452199,0.111139758,0.13598995,0.14221353,0,0,0,0,0.094144388,0.105785182,0.14061417,0.156525064,0.177834086,0.181800504,0,0,0,0,0.149419357,0.167872461,0.232382887,0.255777498,0.294828882,0.302866644
246,0,0,0,0,0,0.071668171,0.096298601,0.111485707,0.134692916,0.148854204,0,0,0,0,0,0.092643245,0.135263404,0.145042974,0.171647579,0.187585989,0,0,0,0,0,0.168596663,0.204981245,0.263721639,0.297261865,0.30641668
247,0,0,0,0,0,0.078550065,0.095110029,0.116796283,0.132884808,0.143324687,0,0,0,0,0,0.1039409,0.130960627,0.158335012,0.181111064,0.185771519,0,0,0,0,0,0.194634011,0.247092983,0.237694306,0.292391868,0.309143967
248,0,0,0,0,0,0.077567805,0.099102749,0.110755969,0.13827964,0.147048754,0,0,0,0,0,0.097340559,0.143819034,0.142548884,0.181846643,0.196690445,0,0,0,0,0,0.157192792,0.212915524,0.273174796,0.319752508,0.337770813
249,0,0,0,0,0,0.071073235,0.09534724,0.111929592,0.136568115,0.150297278,0,0,0,0,0,0.101824024,0.126820302,0.14463204,0.184257565,0.192312257,0,0,0,0,0,0.226261894,0.232985122,0.236725175,0.318917221,0.308388777
250,0,0,0,0,0,0.073174379,0.092391559,0.108079655,0.130225522,0.148960618,0,0,0,0,0,0.077397855,0.135195562,0.144599059,0.179938349,0.183457765,0,0,0,0,0,0.144696388,0.279132825,0.232801537,0.318708709,0.32754249
251,0,0,0,0,0,0.064564945,0.094748297,0.110260783,0.140170817,0.140250873,0,0,0,0,0,0.097586618,0.134329796,0.150615986,0.205245083,0.178457206,0,0,0,0,0,0.179245398,0.225503309,0.249723026,0.361783622,0.280040773
252,0,0,0,0,0,0.073141205,0.099943514,0.11181977,0.14175971,0.146420217,0,0,0,0,0,0.094697452,0.132828282,0.140271036,0.187068074,0.182208936,0,0,0,0,0,0.27642197,0.267029885,0.257591905,0.295875076,0.309406862
253,0,0,0,0,0.056846303,0.06798612,0.091681569,0.116454282,0.138883122,0.148502147,0,0,0,0,0.078832993,0.095789733,0.130108815,0.150055337,0.182889051,0.191259823,0,0,0,0,0.165170632,0.160116926,0.260742506,0.254867182,0.326667481,0.332324995
254,0,0,0,0,0.065861106,0.076631654,0.099726568,0.124951529,0.138809347,0.148777262,0,0,0,0,0.089378634,0.090614703,0.145494058,0.165735794,0.191871974,0.201883356,0,0,0,0,0.110591491,0.207452269,0.2632991,0.26131008,0.299637873,0.31497696
255,0,0,0,0,0,0.078876012,0.099689837,0.118637993,0.131887205,0.152242121,0,0,0,0,0,0.102804502,0.141320301,0.158723059,0.179353339,0.187707479,0,0,0,0,0,0.269645517,0.200393197,0.268567784,0.315542474,0.295332214
256,0,0,0,0,0,0,0.097631113,0.114764315,0.138536405,0.146774734,0,0,0,0,0,0,0.143363487,0.152881434,0.18564609,0.196658074,0,0,0,0,0,0,0.237503285,0.274662208,0.330637056,0.350658177
257,0,0,0,0,0.051773224,0.067560813,0.096992049,0.114295962,0.129489885,0.147429239,0,0,0,0,0.085699306,0.111773838,0.136360392,0.158576701,0.172942642,0.19208277,0,0,0,0,0.127542975,0.222633685,0.269390999,0.294063667,0.283767056,0.340426112
258,0,0,0,0,0,0.076987468,0.101711056,0.118477891,0.137566385,0.150378625,0,0,0,0,0,0.106371494,0.141328267,0.163628715,0.17362692,0.198096422,0,0,0,0,0,0.212403718,0.26025157,0.249051035,0.30811742,0.303106816
259,0,0,0,0,0,0.087071602,0.109887138,0.121920721,0.131404987,0.146503396,0,0,0,0,0,0.10535321,0.141808782,0.159765105,0.180444372,0.191205201,0,0,0,0,0,0.15399447,0.242010427,0.266426199,0.34768496,0.282277725
260,0,0,0,0,0,0.059643757,0.091808333,0.110783697,0.135328313,0.14923792,0,0,0,0,0,0.116032555,0.119821423,0.148999794,0.17577296,0.193868732,0,0,0,0,0,0.256275462,0.218877915,0.332714428,0.283906563,0.313915476
261,0,0,0,0,0.05271761,0.065349953,0.101253254,0.116452786,0.138412889,0.142914145,0,0,0,0,0.08265343,0.085996766,0.138900657,0.158027857,0.177272794,0.195440379,0,0,0,0,0.210071463,0.17057756,0.253895014,0.264134074,0.331342224,0.307098197
262,0,0,0,0,0,0.075126948,0.103262136,0.116283894,0.136163783,0.148759567,0,0,0,0,0,0.118594094,0.137898558,0.15880528,0.174227587,0.207927661,0,0,0,0,0,0.320525679,0.260060828,0.279781756,0.308614824,0.33727122
263,0,0,0,0,0,0.068320601,0.102875841,0.109009129,0.133100129,0.148631947,0,0,0,0,0,0.104227418,0.133477791,0.151013501,0.178087941,0.196768533,0,0,0,0,0,0.180313668,0.285317361,0.244739246,0.311546773,0.319423719
264,0,0,0,0,0,0.081105659,0.096394063,0.11491011,0.138441558,0.145921816,0,0,0,0,0,0.103859015,0.138655034,0.154141764,0.189349866,0.195652847,0,0,0,0,0,0.221488773,0.247420279,0.262200322,0.311560218,0.345632121
265,0,0,0,0,0.065977259,0.067596659,0.095740152,0.116588522,0.13484334,0.148757047,0,0,0,0,0.089707044,0.083890012,0.134010758,0.16691998,0.171888903,0.211403147,0,0,0,0,0.261720855,0.252953387,0.27525629,0.227136687,0.31605977,0.337925981
266,0,0,0,0.049359108,0.061703062,0.068822872,0.104112382,0.114724318,0.139523248,0.151451471,0,0,0,0.078847508,0.073848127,0.102529172,0.145680318,0.162226736,0.178441642,0.204999193,0,0,0,0.297172406,0.189974001,0.182397012,0.252747825,0.27568941,0.327582585,0.326633188
267,0,0,0,0,0,0.07783719,0.104221891,0.114883529,0.145050366,0.145043136,0,0,0,0,0,0.094550472,0.148755375,0.153677617,0.176727151,0.196247776,0,0,0,0,0,0.232186686,0.258980458,0.28181622,0.262423457,0.343143148
268,0,0,0,0,0.05302837,0,0.101620258,0.111674991,0.142060405,0.148974142,0,0,0,0,0.077319754,0,0.137010151,0.151577643,0.177780801,0.190880493,0,0,0,0,0.155397693,0,0.222237228,0.30425385,0.299107136,0.321933005
269,0,0,0,0,0,0,0.108680193,0.121349825,0.132815354,0.157509413,0,0,0,0,0,0,0.129645209,0.141862435,0.177208937,0.208584108,0,0,0,0,0,0,0.237595402,0.282108111,0.296600827,0.32833011
270,0,0,0,0,0,0,0.105645051,0.111732667,0.142004695,0.156433654,0,0,0,0,0,0,0.125011214,0.13992228,0.194862691,0.19750771,0,0,0,0,0,0,0.274235212,0.296589609,0.318689341,0.350629542
271,0,0,0,0,0,0.075960259,0.099159569,0.120531828,0.134985641,0.147416895,0,0,0,0,0,0.110367284,0.137422027,0.15512786,0.193355283,0.193027082,0,0,0,0,0,0.205310466,0.277669913,0.28781426,0.32529239,0.31934925
272,0,0,0,0,0,0.072956322,0.094384677,0.115469943,0.140082078,0.152616934,0,0,0,0,0,0.087774856,0.138872393,0.154783211,0.178598943,0.19687615,0,0,0,0,0,0.276035486,0.332182685,0.299168157,0.279537273,0.327002778
273,0,0,0,0,0,0.078498692,0.096744192,0.111206427,0.136059338,0.149869441,0,0,0,0,0,0.093486849,0.146016752,0.157058718,0.191911005,0.206626573,0,0,0,0,0,0.167153383,0.282849661,0.277149237,0.28667029,0.368728531
274,0,0,0,0,0,0,0.105512085,0.113235513,0.136710647,0.145133646,0,0,0,0,0,0,0.138530426,0.152244195,0.178738855,0.194916321,0,0,0,0,0,0,0.269576387,0.281222862,0.333848051,0.289290059
275,0,0,0,0,0,0.067408109,0.088753181,0.126549127,0.136703282,0.152007576,0,0,0,0,0,0.118682999,0.114230299,0.166850362,0.180984821,0.199964394,0,0,0,0,0,0.281992924,0.238973528,0.318481484,0.315140386,0.347126535
276,0,0,0,0,0,0.071310121,0.100989338,0.121647941,0.13348437,0.147761112,0,0,0,0,0,0.099927525,0.141100562,0.155745252,0.181128118,0.194891318,0,0,0,0,0,0.190716759,0.22592561,0.285728364,0.325814826,0.298345737
277,0,0,0,0,0,0,0.103847223,0.119076223,0.138302673,0.154267785,0,0,0,0,0,0,0.139343338,0.144500486,0.177248539,0.208072027,0,0,0,0,0,0,0.234907875,0.260824181,0.264240322,0.367291793
278,0,0,0,0,0,0,0.105349863,0.116954478,0.142667586,0.158132222,0,0,0,0,0,0,0.134349942,0.156164112,0.187549153,0.214905024,0,0,0,0,0,0,0.284640798,0.268680237,0.283869275,0.31009303
279,0,0,0,0,0,0.089709764,0.106907541,0.12360917,0.1355725,0.151750136,0,0,0,0,0,0.111113432,0.139960109,0.158865525,0.174124324,0.189679989,0,0,0,0,0,0.197924546,0.286194667,0.237052031,0.287592602,0.340885525
280,0,0,0,0,0,0.081998444,0.104209427,0.118159322,0.141831568,0.148602673,0,0,0,0,0,0.12303183,0.141659704,0.171117582,0.187003274,0.207550692,0,0,0,0,0,0.274483913,0.242921969,0.272603834,0.300127189,0.313699411
281,0,0,0,0,0,0,0.097053945,0.120844596,0.130076355,0.151384888,0,0,0,0,0,0,0.137166084,0.160491667,0.171891137,0.198435844,0,0,0,0,0,0,0.267346948,0.276324651,0.304751284,0.310521258
282,0,0,0,0,0,0.065940277,0.108011932,0.119680004,0.143458615,0.14861924,0,0,0,0,0,0.102529214,0.150224621,0.171778794,0.183429406,0.196968588,0,0,0,0,0,0.159510961,0.25795819,0.293820004,0.353591006,0.34333761
283,0,0,0,0,0.066183693,0,0.096780982,0.113277059,0.143101265,0.158550351,0,0,0,0,0.081734825,0,0.136481388,0.163886685,0.183174694,0.207539525,0,0,0,0,0.126446789,0,0.328764803,0.309346137,0.31411668,0.359291608
284,0,0,0,0,0,0,0.100890659,0.116177888,0.142531896,0.144049183,0,0,0,0,0,0,0.136047044,0.155480891,0.192516531,0.198668406,0,0,0,0,0,0,0.225130828,0.259190494,0.340166705,0.344671071
285,0,0,0,0,0,0.084450145,0.105506491,0.115450989,0.138606418,0.14363644,0,0,0,0,0,0.10315393,0.145413944,0.167725027,0.183110068,0.183680595,0,0,0,0,0,0.148308119,0.297765607,0.289449053,0.310385431,0.341042317
286,0,0,0,0.050219799,0.067681157,0,0.101362656,0.112244558,0.139766309,0.155689024,0,0,0,0.073441575,0.087111412,0,0.134720124,0.155356441,0.177684645,0.20174525,0,0,0,0.095255469,0.193205899,0,0.251576602,0.318050949,0.315939999,0.337280202
287,0,0,0,0,0,0,0.103556172,0.115903068,0.145702228,0.154406066,0,0,0,0,0,0,0.15072104,0.160574285,0.195320537,0.217559463,0,0,0,0,0,0,0.22452293,0.258778509,0.345717192,0.313141626
288,0,0,0,0,0,0.067569361,0.104824861,0.123506846,0.135429401,0.150909288,0,0,0,0,0,0.098407531,0.129726609,0.161758571,0.192351624,0.216902056,0,0,0,0,0,0.225870105,0.210179802,0.301543184,0.319245021,0.348929506
289,0,0,0,0,0,0.087482026,0.104955791,0.124240019,0.142043014,0.155518424,0,0,0,0,0,0.161465349,0.149741241,0.175506592,0.180321931,0.206421535,0,0,0,0,0,0.289635384,0.21986249,0.28626427,0.322728368,0.311628478
290,0,0,0,0,0,0.061708706,0.104563847,0.112255839,0.13425682,0.157783842,0,0,0,0,0,0.103944787,0.132838778,0.15300378,0.184822554,0.212305236,0,0,0,0,0,0.232865656,0.209150774,0.252931396,0.359108807,0.311481637
291,0,0,0,0,0,0.062978542,0.091021473,0.117308635,0.133401315,0.155274437,0,0,0,0,0,0.11082655,0.136910939,0.166530045,0.185279028,0.20163953,0,0,0,0,0,0.259424305,0.256496946,0.321823469,0.31578787,0.308556672
292,0,0,0,0,0,0.076553487,0.106178736,0.131701996,0.143365063,0.148256498,0,0,0,0,0,0.108434452,0.129382407,0.16818497,0.17124434,0.194496823,0,0,0,0,0,0.175964841,0.240292553,0.293026462,0.317415176,0.357939751
293,0,0,0,0,0,0,0.102761554,0.116978231,0.14202305,0.163656581,0,0,0,0,0,0,0.127599201,0.16119051,0.185298694,0.207332972,0,0,0,0,0,0,0.227802784,0.323830454,0.300808749,0.358953962
294,0,0,0,0,0,0,0.109463963,0.110699783,0.137868753,0.15827046,0,0,0,0,0,0,0.142804645,0.154420718,0.1806293,0.202194793,0,0,0,0,0,0,0.286302107,0.277678755,0.327569594,0.347502204
295,0,0,0,0,0,0.072736655,0.10178694,0.114686514,0.141075076,0.150625736,0,0,0,0,0,0.142175348,0.141027974,0.155510987,0.199203492,0.203070651,0,0,0,0,0,0.194534032,0.269554815,0.270248798,0.332303988,0.348218824
296,0,0,0,0,0,0,0.103169171,0.116390419,0.143890132,0.153273206,0,0,0,0,0,0,0.155257778,0.154036496,0.187755441,0.207133638,0,0,0,0,0,0,0.24186482,0.258394099,0.311421658,0.323716234
297,0,0,0,0,0,0.076122497,0.106496421,0.125263679,0.13582491,0.159007181,0,0,0,0,0,0.09553633,0.15196091,0.151733944,0.191016436,0.204448226,0,0,0,0,0,0.211202186,0.216694019,0.246145032,0.320846328,0.346613058
298,0,0,0,0,0,0,0.091050534,0.117409937,0.14775739,0.1528743,0,0,0,0,0,0,0.15020776,0.155338668,0.190545404,0.204128934,0,0,0,0,0,0,0.28488653,0.297898489,0.306542937,0.288834986
299,0,0,0,0,0,0.071079203,0.107803974,0.121953314,0.142805554,0.150952535,0,0,0,0,0,0.102455114,0.124948692,0.155786051,0.189828099,0.216908152,0,0,0,0,0,0.148047263,0.240464882,0.257746582,0.311912863,0.352711011
300,0,0,0,0,0,0.070382843,0.104720969,0.119287377,0.140516532,0.153069017,0,0,0,0,0,0.09615899,0.150873524,0.157329404,0.199058401,0.209489481,0,0,0,0,0,0.183020878,0.225370939,0.273939198,0.316814275,0.310070286
301,0,0,0,0,0,0.067056108,0.102126647,0.121278922,0.142929246,0.149757392,0,0,0,0,0,0.091956649,0.141458532,0.157289297,0.179144721,0.204966414,0,0,0,0,0,0.176758156,0.229457502,0.295679958,0.339622085,0.353786437
302,0,0,0,0,0,0,0.115511485,0.118006772,0.141457588,0.150109618,0,0,0,0,0,0,0.155244437,0.158536686,0.173990643,0.19703653,0,0,0,0,0,0,0.247618404,0.310206791,0.31358692,0.324535715
303,0,0,0,0,0,0.073255233,0.098414607,0.119684908,0.151964335,0.154538648,0,0,0,0,0,0.105131689,0.133477738,0.16857905,0.192048537,0.215632876,0,0,0,0,0,0.127515008,0.277987721,0.28497222,0.316266253,0.364560183
304,0,0,0,0,0,0,0.106727953,0.125234962,0.13685961,0.152985952,0,0,0,0,0,0,0.16993881,0.165052651,0.184801494,0.212301346,0,0,0,0,0,0,0.25425892,0.241997281,0.348805314,0.362656102
305,0,0,0,0,0,0,0.10103092,0.116004387,0.140013063,0.157057434,0,0,0,0,0,0,0.129590043,0.169760193,0.181212413,0.19933618,0,0,0,0,0,0,0.188244999,0.254752526,0.323828277,0.321577479
306,0,0,0,0,0,0,0.100784655,0.11786846,0.142208703,0.162029463,0,0,0,0,0,0,0.148544412,0.159544199,0.186812767,0.195417062,0,0,0,0,0,0,0.385952541,0.254021674,0.293150901,0.388655851
307,0,0,0,0,0,0.08022602,0.095360986,0.120641847,0.128418374,0.158295329,0,0,0,0,0,0.190578797,0.151278596,0.174672419,0.179177713,0.208857881,0,0,0,0,0,0.243041957,0.220464431,0.26196279,0.318272505,0.326855084
308,0,0,0,0,0.061312914,0,0.10867538,0.119243736,0.14558052,0.154206435,0,0,0,0,0.106319841,0,0.136740302,0.154953465,0.184798889,0.194712468,0,0,0,0,0.115794774,0,0.224891937,0.253345485,0.318872024,0.388029831
309,0,0,0,0,0,0.092917074,0.107214248,0.126557215,0.146257749,0.157123357,0,0,0,0,0,0.096897368,0.148707423,0.148395581,0.193725663,0.203695566,0,0,0,0,0,0.265493297,0.25029196,0.276257203,0.360631666,0.338688333
310,0,0,0,0,0,0.083472236,0.101336354,0.118526223,0.150599815,0.161157611,0,0,0,0,0,0.093451879,0.14216267,0.163139106,0.192582773,0.199731303,0,0,0,0,0,0.112134866,0.374451186,0.252187053,0.340083606,0.329355702
311,0,0,0,0,0,0.077082965,0.111807705,0.121339927,0.141650321,0.169235424,0,0,0,0,0,0.091551016,0.13210028,0.166097164,0.185869515,0.224792403,0,0,0,0,0,0.368416767,0.231618805,0.294662733,0.288549218,0.284882518
312,0,0,0,0,0,0,0.108434307,0.127156681,0.139891057,0.157151384,0,0,0,0,0,0,0.165218523,0.169888396,0.181267674,0.210770988,0,0,0,0,0,0,0.244060996,0.272222423,0.30149324,0.332409565
313,0,0,0,0,0,0,0.091625611,0.120040284,0.144097208,0.151646206,0,0,0,0,0,0,0.145500964,0.151118992,0.203843529,0.198934994,0,0,0,0,0,0,0.25097886,0.279080554,0.336241973,0.384642511
314,0,0,0,0,0,0.088424683,0.107523279,0.121750109,0.148331127,0.157574094,0,0,0,0,0,0.094149366,0.151567934,0.167723873,0.191394026,0.197763858,0,0,0,0,0,0.179644992,0.287465503,0.273901413,0.332119569,0.344565493
